,city,latitude,longitude,temperature,humidity,cloudiness,wind_speed
594,prado,-17.99999999999997,-32.79999999999987,76.35,84,19,13.56
595,maceio,-17.99999999999997,-26.399999999999864,73.54,76,9,9.66
596,georgetown,-17.99999999999997,-19.999999999999858,70.92,72,23,14.27
600,namibe,-17.99999999999997,5.600000000000165,62.82,82,0,9.48
601,opuwo,-17.99999999999997,12.00000000000017,57.92,92,37,1.45
602,rundu,-17.99999999999997,18.400000000000176,69.17,71,95,6.4
603,kachikau,-17.99999999999997,24.800000000000182,73.24,45,82,6.53
604,chitungwiza,-17.99999999999997,31.200000000000188,55.24,87,30,6.31
605,quelimane,-17.99999999999997,37.60000000000019,75.02,72,26,15.97
606,miandrivazo,-17.99999999999997,44.0000000000002,76.26,79,82,13.78
607,toamasina,-17.99999999999997,50.400000000000205,75.6,74,0,10.8
608,cap malheureux,-17.99999999999997,56.80000000000021,74.91,82,32,13.58
609,quatre cocos,-17.99999999999997,63.200000000000216,74.7,77,100,16.82
611,hithadhoo,-17.99999999999997,76.00000000000023,73.44,77,100,18.61
613,bengkulu,-17.99999999999997,88.80000000000024,73.44,73,97,20.69
614,labuhan,-17.99999999999997,95.20000000000027,73.08,65,97,18.52
615,palabuhanratu,-17.99999999999997,101.60000000000025,70.92,73,100,18.12
617,karratha,-17.99999999999997,114.40000000000026,74.26,69,5,20.74
618,broome,-17.99999999999997,120.8000000000003,78.87,67,3,17.13
619,kununurra,-17.99999999999997,127.20000000000027,87.67,24,0,12.3
620,ngukurr,-17.99999999999997,133.60000000000025,95.83,29,43,15.86
622,innisfail,-17.99999999999997,146.40000000000032,79.68,82,81,15.59
623,mackay,-17.99999999999997,152.8000000000003,77.97,64,2,6.11
624,poum,-17.99999999999997,159.20000000000027,77.76,77,48,12.66
625,pouebo,-17.99999999999997,165.6000000000003,77.76,78,100,5.23
628,vaitupu,-10.799999999999969,-180.0,82.04,78,95,14.7
629,falealupo,-10.799999999999969,-173.6,82.4,75,60,8.57
630,samusu,-10.799999999999969,-167.2,82.35,70,32,11.3
632,faanui,-10.799999999999969,-154.39999999999998,81.48,73,26,13.11
633,fare,-10.799999999999969,-147.99999999999997,80.64,72,3,13.09
634,atuona,-10.799999999999969,-141.59999999999997,79.36,75,10,13.49
642,san cristobal,-10.799999999999969,-90.39999999999992,65.91,73,100,14.92
643,chicama,-10.799999999999969,-83.99999999999991,64.36,80,86,15.68
644,supe,-10.799999999999969,-77.59999999999991,69.04,73,72,7.18
645,iberia,-10.799999999999969,-71.1999999999999,79.56,58,96,3.27
646,guajara-mirim,-10.799999999999969,-64.7999999999999,76.32,85,100,1.32
647,vilhena,-10.799999999999969,-58.39999999999989,79.05,67,77,1.52
648,formoso do araguaia,-10.799999999999969,-51.999999999999886,80.02,67,85,4.25
649,corrente,-10.799999999999969,-45.59999999999988,77.09,59,98,1.7
650,quijingue,-10.799999999999969,-39.199999999999875,81.61,55,55,11.92
651,maragogi,-10.799999999999969,-32.79999999999987,79.16,80,14,14.58
652,olinda,-10.799999999999969,-26.399999999999864,77.76,77,2,17.52
657,luanda,-10.799999999999969,5.600000000000165,67.1,79,31,11.14
658,sumbe,-10.799999999999969,12.00000000000017,73.72,81,65,6.26
659,camacupa,-10.799999999999969,18.400000000000176,62.1,95,95,1.3
660,mwinilunga,-10.799999999999969,24.800000000000182,66.83,71,87,2.04
661,kasama,-10.799999999999969,31.200000000000188,71.94,41,37,9.13
662,tunduru,-10.799999999999969,37.60000000000019,73.24,72,63,5.88
663,mitsamiouli,-10.799999999999969,44.0000000000002,76.82,78,79,6.71
664,ambilobe,-10.799999999999969,50.400000000000205,77.58,78,90,21.47
665,victoria,-10.799999999999969,56.80000000000021,78.44,85,100,23.58
673,kawalu,-10.799999999999969,108.00000000000023,80.64,81,100,19.98
674,denpasar,-10.799999999999969,114.40000000000026,82.0,75,100,11.41
675,waingapu,-10.799999999999969,120.8000000000003,82.04,74,60,6.67
676,atambua,-10.799999999999969,127.20000000000027,84.11,72,34,11.99
677,maningrida,-10.799999999999969,133.60000000000025,82.8,69,97,9.15
678,merauke,-10.799999999999969,140.00000000000028,80.85,79,80,8.95
679,port moresby,-10.799999999999969,146.40000000000032,80.46,78,78,10.25
680,samarai,-10.799999999999969,152.8000000000003,82.45,71,100,6.06
681,honiara,-10.799999999999969,159.20000000000027,83.08,75,39,10.96
682,lata,-10.799999999999969,165.6000000000003,83.14,77,100,13.15
